id;name;jhi_index
1;"Hà Nội";1
2;"Hà Giang";10
4;"Cao Bằng";10
6;"Bắc Kạn";10
8;"Tuyên Quang";10
10;"Lào Cai";10
11;"Điện Biên";10
12;"Lai Châu";10
14;"Sơn La";10
15;"Yên Bái";10
17;"Hòa Bình";10
19;"Thái Nguyên";10
20;"Lạng Sơn";10
22;"Quảng Ninh";10
24;"Bắc Giang";10
25;"Phú Thọ";10
26;"Vĩnh Phúc";10
27;"Bắc Ninh";10
30;"Hải Dương";10
31;"Hải Phòng";10
33;"Hưng Yên";10
34;"Thái Bình";10
35;"Hà Nam";10
36;"Nam Định";10
37;"Ninh Bình";10
38;"Thanh Hóa";10
40;"Nghệ An";10
42;"Hà Tĩnh";10
44;"Quảng Bình";10
45;"Quảng Trị";10
46;"Thừa Thiên Huế";10
48;"Đà Nẵng";2
49;"Quảng Nam";10
51;"Quảng Ngãi";10
52;"Bình Định";10
54;"Phú Yên";10
56;"Khánh Hòa";10
58;"Ninh Thuận";10
60;"Bình Thuận";10
62;"Kon Tum";10
64;"Gia Lai";10
66;"Đắk Lắk";10
67;"Đắk Nông";10
68;"Lâm Đồng";10
70;"Bình Phước";10
72;"Tây Ninh";10
74;"Bình Dương";10
75;"Đồng Nai";10
77;"Bà Rịa - Vũng Tàu";10
79;"Hồ Chí Minh";1
80;"Long An";10
82;"Tiền Giang";10
83;"Bến Tre";10
84;"Trà Vinh";10
86;"Vĩnh Long";10
87;"Đồng Tháp";10
89;"An Giang";10
91;"Kiên Giang";10
92;"Cần Thơ";10
93;"Hậu Giang";10
94;"Sóc Trăng";10
95;"Bạc Liêu";10
96;"Cà Mau";10
